symbol,timetoexpiry,strike,last,bid,ask,volume,openint,curprice,histvol,implvol,bsval
GPN,20,100,0.75,0.7,0.9,130,2069,95.029999,0.144406558594207,0.294889557117957,0.0947993470842183
FGP,48,7.5,0.01,0,0.05,159,486,5.14,0.505524088021598,0.709570483454329,0.00816468423728114
WD,139,40,14.14,12.8,13.7,5,5,52.330002,0.266935822948164,0.484797571577038,12.492307931262
SJW,167,60,2.1,1.95,3.3,43,47,56.599998,0.153179332907532,0.306376422329954,1.08031657497795
PWR,230,38,2.95,2.8,3,11,7,37.369999,0.102881805540188,0.277537707550539,0.938089631186957
WTS,20,70,1,0.55,1.05,132,5,69.199997,0.201181763898974,0.217598832839644,0.946227214465733
GGP,76,30,0.12,0,0.33,140,0,20.77,0.252650693412609,0.625370724434294,0.000553351179387266
MAC,20,60,0.21,0.05,0.3,42,5917,54.970001,0.256622505894621,0.335382657405163,0.111260726727324
NLY,475,8,4.22,2,6.6,62,75,12.19,0.10739274122654,0.969195487030889,4.19009017284614
SJR,20,22.5,0.7,0.3,1.05,62,120,23.01,0.0818816652109423,0.36163839516613,0.536043163005992
IHG,111,55,0.85,0.85,1.5,20,33,52.889999,0.140889223874247,0.203152147801454,0.824033594982989
EV,230,55,0.55,0.45,0.65,300,300,49.369999,0.172315462034358,0.153214918706202,0.871607908445592
RT,20,5,0.05,0.05,0.1,3689,3932,2.14,0.362813066268917,2.83860953857734,0
FTK,111,8,1.55,0,0.1,50,80,4.65,0.586533821141027,0.730979006061153,0.03773740678872
TSS,48,70,0.92,0.75,0.9,250,786,65.5,0.242934200115871,0.259428791276083,0.776320213442926
USFD,20,35,0.25,0,1.05,10,12,26.700001,0.178257159868696,1.35408645145738,8.11404330453019e-12
PEI,20,10,0.5,0.6,0.75,22,404,10.49,0.316785251559132,0.485817884762388,0.608919392767374
MRIN,20,2.5,0.05,0,0.2,7,7,1.75,1.09475357708206,2.50865690268908,0.0198950467658592
BSM,20,17.5,0.1,0.15,0.4,41,655,17.34,0.166571100166704,0.292494132609305,0.198437798995799
CBI,6,17.5,0.21,0.15,0.2,1531,597,16.799999,0.381442419564663,0.535143732964221,0.0947616017711574
DLPH,111,82.5,16.4,16.7,17,6,49,98.400002,0.205968838892332,0.300664142605263,16.1660229802071
CLDT,139,22.5,0.3,0.15,0.35,7,190,21.32,0.10411385073276,0.149580559360725,0.157942402048851
TRC,20,30,0.1,0,0.95,4,0,21.1,0.148601382718452,1.65313458157087,0
MTG,76,4,6.75,6.4,10.85,32,61,12.53,0.243065023881294,4.99178537323805,8.53
ANDV,27,109,0.65,0.35,0.53,5,10,103.150002,0.190618171915409,0.208868540715195,0.404743149645848
KORS,48,32.5,16,15.2,15.8,20,30,47.849998,0.242079093141801,0.786251482386073,15.3500017642938
INN,167,20,0.1,0,0.15,50,0,15.99,0.194479059619916,0.259342866910675,0.0428435206760732
OOMA,20,10,0.75,0.5,0.9,2,435,10.55,0.372946854057732,0.609579622889057,0.697927797694588
SNV,20,39,4.6,6.9,7.4,10,10,46.060001,0.217370833690683,0.597929352916651,7.06030815709963
G,167,25,5.3,4.1,4.4,10,10,28.75,0.0855633324327943,0.274822795663744,3.75403435260135
